activity                                                | id:Int
agent_guidance                                          | guidance_type:String
analytics                                               | queries:?
analytics_benchmarks                                    | benchmark_configurations:?
analytics_chart                                         | chart_key:String; organization_id:ID; team_id:ID; filters:JSON; start_date:String; end_date:String; interval:String; limit:Int; benchmarks:LIST
analytics_chart_benchmark_filters                       | chart_key:String
analytics_chart_explore                                 | chart_key:String; organization_id:ID; explore_type:String; index_value:String; pivot_value:String; filters:JSON; start_date_utc_str:String; end_date_utc_str:String; interval:String; order_by_field:String; order_by_direction:String; page:Int; page_size:Int
analytics_dashboard_filter_definitions                  | dashboard_key:String; organization_id:ID
analytics_reports                                       | offset:Int; where:FiltersAnalyticsReportFilterInput; order_by:FiltersAnalyticsReportFilterOrder; after:String; before:String; first:Int; last:Int
asset_context                                           | asset_identifier:String; program_handle:String
assets                                                  | id:LIST; where:FiltersAssetFilterInput; after:String; before:String; first:Int; last:Int
assets_by_velocity                                      | after:String; before:String; first:Int; last:Int; organization_id:ID; velocity_class:String
assignable_teams                                        | after:String; before:String; first:Int; last:Int; report_ids:?; querystring:String
automation                                              | id:Int; organization_handle:String
campaign_objectives                                     | after:String; before:String; first:Int; last:Int; where:FiltersCampaignObjectiveFilterInput
certifications                                          | where:FiltersCertificationFilterInput; after:String; before:String; first:Int; last:Int
clusters                                                | id:ID; order_by:ClusterOrder; after:String; before:String; first:Int; last:Int
completed_recommendations                               | team_ids:?
configurable_dashboard                                  | dashboard_key:String; organization_id:ID
conversation                                            | id:ID
custom_dashboard                                        | id:ID
custom_dashboard_chart                                  | chart_id:ID
cve_entry                                               | cve_id:String
cwe_entries                                             | order_by:CweEntryOrderInput; search:String; after:String; before:String; first:Int; last:Int
cwe_entry                                               | cwe_id:String
dashboard_states                                        | where:FiltersDashboardStateFilterInput; order_by:FiltersDashboardStateFilterOrder; after:String; before:String; first:Int; last:Int
derived_pentest                                         | origin_id:ID; origin_type:String
document                                                | queries:?; elements:?
embedded_submission_form                                | uuid:String
experimental_dream_box_chat                             | prompt:String
external_integration_credentials                        | team_id:ID; organization_id:ID; provider:ExternalIntegrationProvider
external_program                                        | handle:String
external_programs                                       | after:String; before:String; first:Int; last:Int; search_input:String
features                                                | after:String; before:String; first:Int; last:Int
gateway_users                                           | team_handle:String; search_string:String; sort_by:GatewayUserOrderFieldEnum; sort_direction:OrderDirection; hackerone_triager:Boolean; program_admin:Boolean; blocked_status:Boolean; after:String; before:String; first:Int; last:Int
hackerone_triagers                                      | cleared:Boolean; where:FiltersUserFilterInput; order_by:FiltersUserFilterOrder; after:String; before:String; first:Int; last:Int
hai_agent_core_config                                   | key:String
hai_chat                                                | id:ID
hai_plays                                               | where:FiltersHaiPlayFilterInput; order_by:FiltersHaiPlayFilterOrder; after:String; before:String; first:Int; last:Int
hai_task                                                | id:ID
intake_commonly_informative_report_categories           | after:String; before:String; first:Int; last:Int
intake_core_ineligible_finding_categories               | after:String; before:String; first:Int; last:Int
intake_incomplete_report_categories                     | after:String; before:String; first:Int; last:Int; subcategory:IntakeIncompleteReportCategorySubcategoryEnum
intake_workflow                                         | report_id:Int
label_categories                                        | where:FiltersLabelCategoryFilterInput; after:String; before:String; first:Int; last:Int
leaderboard_entries                                     | after:String; before:String; first:Int; last:Int; key:LeaderboardKeyEnum; year:Int; quarter:Int; filter:String; engagement_type:String; user_type:String
load_configurable_analytics_chart                       | chart_key:String; organization_id:ID; team_id:ID; filters:JSON; start_date:String; end_date:String; interval:String; limit:Int; benchmarks:LIST
machine_learning_inference_result                       | id:Int
mediation_requests                                      | where:FiltersMediationRequestFilterInput; order_by:FiltersMediationRequestFilterOrder; after:String; before:String; first:Int; last:Int
node                                                    | id:ID
oauth_application                                       | client_id:String
opportunities_search                                    | after:String; before:String; first:Int; last:Int; query:OpportunitiesQuery; filter:QueryInput; sort:LIST; from:Int; size:Int; post_filters:OpportunitiesFilterInput
organization                                            | handle:String
organization_bounty_informed_pentest_generator_runs     | organization_id:ID; run_id:ID; after:String; before:String; first:Int; last:Int
organization_inboxes                                    | where:FiltersOrganizationInboxFilterInput; order_by:FiltersOrganizationInboxFilterOrder; after:String; before:String; first:Int; last:Int
organizations                                           | where:FiltersOrganizationFilterInput; order_by:FiltersOrganizationFilterOrder; after:String; before:String; first:Int; last:Int
other_workflow_step_conclusions                         | after:String; before:String; first:Int; last:Int
pentest                                                 | id:ID
pentest_checklist_templates                             | organization_id:ID; after:String; before:String; first:Int; last:Int
pentest_opportunities                                   | where:FiltersPentestOpportunityFilterInput; after:String; before:String; first:Int; last:Int
pentest_opportunity                                     | token:String
pentest_opportunity_status                              | token:String
pentest_report                                          | id:ID
